Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,1,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,66,25,0,72.52747253,27.47252747,0,0.583180652,0.05480661,0.192699657,48.19484977,80.94685471,177.851798,147.0561716,30.7956264,1.954415363,1.616001886,0.338413477,83.96017573,0.922639294,47.20794317,0.756756757,28,0.259259259,14,0.740740741,40,0.243243243,9,0.666666667,0.756756757,0.708860759,0.490191704,0.818318318,0.664268661,0.725274725,0.116360332,0.883639668,0.274725275,NaN,0.725274725,NaN,NaN,0.862972698,0.687307031,NaN,0.725274725,0.001,0,0,0,0,0,139592,115620,36486,86.81318681,19.23076923,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,1,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,67,24,0,73.62637363,26.37362637,0,0.602547771,0.056328058,0.185242164,49.53275322,77.81420454,177.851798,127.7520995,50.09969848,1.954415363,1.403869226,0.550546137,85.78071648,0.942645236,48.23157113,0.783783784,29,0.222222222,12,0.777777778,42,0.216216216,8,0.707317073,0.783783784,0.743589744,0.55439357,0.846846847,0.74260346,0.736263736,0.101373239,0.898626761,0.263736264,NaN,0.736263736,NaN,NaN,0.876418462,0.728358031,NaN,0.736263736,0,0,0,0,0,0,139592,115620,36486,90.10989011,21.06227106,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,1,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,62,29,0,68.13186813,31.86813187,0,0.52638191,0.056429437,0.190485396,49.83198413,80.399678,175.6070055,127.3543571,48.25264843,1.929747313,1.399498429,0.530248884,80.7810017,0.887703315,46.00101315,0.675675676,25,0.222222222,12,0.777777778,42,0.324324324,12,0.675675676,0.675675676,0.675675676,0.453453453,0.866866867,0.772939734,0.681318681,0.103748858,0.896251142,0.318681319,NaN,0.681318681,NaN,NaN,0.890304048,0.734420111,NaN,0.681318681,0.001,0,0,0,0,0,139592,115620,36486,93.40659341,21.42857143,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,1,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,61,30,0,67.03296703,32.96703297,0,0.514925373,0.055782559,0.189620547,49.26073621,80.03464449,175.6070055,125.8462932,49.76071229,1.929747313,1.382926299,0.546821014,87.78023249,0.964617939,49.98674867,0.594594595,22,0.240740741,13,0.759259259,41,0.405405405,15,0.628571429,0.594594595,0.611111111,0.357267603,0.848848849,0.749954081,0.67032967,0.111827148,0.888172852,0.32967033,0.716378859,0.67032967,0.68004218,0.571746023,0.894665757,0.74171861,0.382154882,0.67032967,0,0.001,0,0,0,0,139592,115620,36486,90.10989011,20.42124542,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,1,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,65,26,0,71.42857143,28.57142857,0,0.574995509,0.054690429,0.184143022,48.25580939,77.64914606,182.8635336,140.9296758,41.93385776,2.00948938,1.548677756,0.460811624,87.18036399,0.958025978,47.67509534,0.675675676,25,0.222222222,12,0.777777778,42,0.324324324,12,0.675675676,0.675675676,0.675675676,0.453453453,0.851351351,0.729887249,0.714285714,0.101522908,0.898477092,0.285714286,NaN,0.714285714,NaN,NaN,0.881198032,0.735286321,NaN,0.714285714,0,0,0,0,0,0,139592,115620,36486,91.20879121,20.23809524,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,1,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,68,23,0,74.72527473,25.27472527,0,0.618065693,0.054208762,0.181463243,47.5785398,76.06393697,189.3915473,127.2570255,62.13452175,2.081225794,1.398428852,0.682796942,93.75211342,1.030243005,49.50174111,0.810810811,30,0.222222222,12,0.777777778,42,0.189189189,7,0.714285714,0.810810811,0.759493671,0.579945115,0.865365365,0.75389565,0.747252747,0.098765996,0.901234004,0.252747253,NaN,0.747252747,NaN,NaN,0.891462338,0.73005788,NaN,0.747252747,0.001,0,0,0,0,0,139592,115620,36486,90.10989011,21.24542125,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,1,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,60,31,0,65.93406593,34.06593407,0,0.496339939,0.062150294,0.202605426,54.55509807,84.93708274,187.3915473,176.3456564,11.04589088,2.059247772,1.937864356,0.121383416,75.14932089,0.825816713,40.10283387,0.621621622,23,0.277777778,15,0.722222222,39,0.378378378,14,0.605263158,0.621621622,0.613333333,0.342475306,0.789289289,0.620915639,0.659340659,0.125653161,0.874346839,0.340659341,NaN,0.659340659,NaN,NaN,0.839992189,0.664907318,NaN,0.659340659,0,0,0,0,0,0,139592,115620,36486,83.51648352,22.52747253,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,1,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,817,91,68,23,0,74.72527473,25.27472527,0,0.613123845,0.04903994,0.171942859,43.0469201,72.08259463,187.3915473,127.5001402,59.89140714,2.059247772,1.401100441,0.658147331,99.09558426,1.088962464,52.88156573,0.864864865,32,0.240740741,13,0.759259259,41,0.135135135,5,0.711111111,0.864864865,0.780487805,0.613173728,0.909409409,0.836204947,0.747252747,0.111979925,0.888020075,0.252747253,NaN,0.747252747,NaN,NaN,0.90889568,0.755748461,NaN,0.747252747,0,0,0,0,0,0,139592,115620,36486,89.01098901,18.4981685,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,1,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,818,90,68,22,0,75.55555556,24.44444444,0,0.615085537,0.047727357,0.174586457,42.11568987,73.62567425,174.1812845,109.1706968,65.01058774,1.935347606,1.213007742,0.722339864,96.12874397,1.068097155,55.18890519,0.837837838,31,0.301886792,16,0.698113208,37,0.162162162,6,0.659574468,0.837837838,0.738095238,0.527935374,0.86945436,0.780783733,0.755555556,0.129588074,0.870411926,0.244444444,NaN,0.755555556,NaN,NaN,0.900401474,0.75141172,NaN,0.755555556,0,0,0,0,0,0,139592,115729,36377,91.11111111,17.87037037,?,?,?,?
hawksA-weka.filters.unsupervised.attribute.NumericToNominal-R3-10,1,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1.47824E+18,2.02E+07,818,90,69,21,0,76.66666667,23.33333333,0,0.64922049,0.048811118,0.175260418,43.07202544,73.90989379,174.1812845,123.5665702,50.61471437,1.935347606,1.372961891,0.562385715,96.23195803,1.069243978,55.24816187,0.810810811,30,0.150943396,8,0.849056604,45,0.189189189,7,0.789473684,0.810810811,0.8,0.657358086,0.886282509,0.803413631,0.766666667,0.079762032,0.920237968,0.233333333,NaN,0.766666667,NaN,NaN,0.908372191,0.777550012,NaN,0.766666667,0,0,0,0,0,0,139592,115729,36377,90,17.59259259,?,?,?,?
